Instruction,Response
How can I get the VIP subscription?,"Here's how you can become a VIP member on Flipkart: - log inch to our app and tap VIP navigation icon on the home screen - Scroll to the bottom and tap 'Add to cart' or 'Subscribe now' button - Go to your cart to review your subscription and attention deficit disorder any additional item you wish to purchase - following tap the 'Proceed to Checkout' button - enter your payment details - Review order summary, subscription details and tap 'Confirm'/ 'Place Order' button. - On successful enrollment, you will receive a confirmation on the app and register email ID You volition then be enroll in our subscription program and can start enjoying the exclusive benefits and rewards that semen with it."
"I am a VIP customer, how do I get early access to sales?",Note: You will receive notifications or exclusive access links to sales event on Flipkart via SMS/push notifications before they are open to other customers. You can then shop for your favourite products and avail the deals and offers on them as part of those sale events. Ensure timely action.
Can I cancel my VIP membership? Is the membership fee refundable?,"No, the VIP membership cannot be cancelled and membership fee is non-refundable. However, the program's benefits and perks are available to you for the entire duration of your membership."
Can iodine renew my VIP subscription membership after it expires?,"Yes, you can regenerate your membership once it expires to continue enjoying the benefit for another year."
volition my SuperCoins run out if iodine don't use them inside a specific timeframe? Please check.,"Yes, SuperCoins gain will expire if not redeemed inside their validity period. The cogency time period starts the moment it is credited to your account."
Will iodine still earn VIP Subscription benefits if I use additional discounts or coupon codes during checkout?,"Note: Yes, you volition still earn cashback as SuperCoins and be eligible for other VIP Subscription benefits, even if you use additional discounts or coupon codes, unless stated otherwise in the offer terms and conditions. please read footing and conditions of any offer before applying information technology to your order. Ensure timely action."
How does the cashback system work in the VIP Subscription?,"VIP members volition receive 5% cashback in the form of SuperCoins up to hundred on every order you place along with a bonus of 200 SuperCoins on orders above Rs 10,000. These Supercoins can beryllium used to avail discounts on future purchases to get an supernumerary 5% murder up to Rs 1000 on all merchandise using Supercoins."
How can I access priority customer support?,Note: You will be able to get in touch with our precedence customer support team from the 'Orders' section of our app. choose the desired order and chink on 'Need help' to get the option to get in touch with our VIP priority customer support. Ensure timely action.
Are there any restrictions on using the 5% discount on products?,Note: The benefit of Associate in Nursing extra 5% off exploitation SuperCoins be applicable on all merchandise sold on Flipkart except for any exclusion as per the VIP terms and conditions. Ensure timely action.
How do I avail the free flight cancellation on Cleartrip?,"Note: As angstrom part of our VIP program, you can cancel your domestic flight bookings on Cleartrip without any additional charge only once during the subscription period. To avail of this you'll need to buy the CT FlexMax plan while engagement your flight on Cleartrip at Re 1. Please note this offer will be applicable lone on bookings make on and after October 3, 2023. Ensure timely action."
can iodine use the free flight cancellation benefit for any Cleartrip booking?,"Yes, from October 3, 2023, onwards, the free flight cancellation benefit use to any domestic flight booking made through Cleartrip as part of our VIP Subscription. You can add the CT FlexMax plan while booking your flight on Cleartrip for rhenium one to avail of this benefit. Please note domestic flight bookings on Flipkart are not eligible for this benefit."
What is the VIP program?,"Note: VIP be a subscription-based loyalty program on Flipkart. You can bargain the VIP subscription at Rs 502(inclusive of a platform fee of Rs 3) and become a member for a year and enjoy the following benefits: - Earn extra 5% upto 100 SuperCoins on every order and a bonus of 200 SuperCoins on orders above Rs 10,000 - supernumerary 5% off on all products (using SuperCoins) up to Rs 1000 - early entree to sales - Over 10 lakh VIP-tagged products will have a faster delivery at select pincodes in Delhi NCR, Bangalore, Mumbai and Kolkata - Free shipping on all products with an FAssured tag at select pincodes in Delhi NCR, Mumbai, Kolkata, Bangalore - Return pickup inside 48 hrs at select pincodes inch Delhi NCR, Bangalore, Mumbai, Kolkata for select products - One domestic flight cancellation/reschedule for domestic flight engagement on Cleartrip, astatine Re 1 during the membership period starting from October 3, 2023 - Extra 3% off up to Rs 3000 on Cleartrip hotel bookings - Priority customer support (no wait time, give agent desk) Ensure timely action."
"What is the difference between VIP, Plus premium and Plus?","Note: Listed below are the differences between the benefits of angstrom Plus, premium Plus and VIP membership: SuperCoins Earnings on every purchase of Rs 100: - A Flipkart Plus member can earn 2 SuperCoins up to 50 - angstrom Plus premium member can gain 4 SuperCoins up to 300 - A very important person member can earn 5 SuperCoins up to 100 on every order and a bonus of two hundred SuperCoins on orders above Rs 10,000 special incentives: angstrom asset and angstrom Premium Plus member get special incentive across five million products angstrom very important person member will get Associate in Nursing extra 5% murder on all products exploitation Supercoins up to roentgen thousand Exclusive benefits for a VIP member: - Over 10 lakh VIP-tagged products volition have faster delivery at select pin code in Delhi NCR, Bangalore, Mumbai and Kolkata - Free shipping on all products with Associate in Nursing FAssured tag astatine select pincodes in Delhi NCR, Mumbai, Kolkata, Bangalore - Return pickup within 48 hour at select pincodes in Delhi NCR, Bangalore, Mumbai, Kolkata for select products - one free domestic flight cancellation/reschedule for domestic flight bookings on Cleartrip, starting from October 3, 2023 - Extra 3% off up to Rs 3000 on Cleartrip hotel bookings - Priority customer support (no delay time, give agent desk) Ensure timely action."
What convenience benefit do I get as a VIP member?,"Note: You get convenience benefits like free and fast shipping and faster returns within 24 to forty-eight hours for select products on Flipkart (except for grocery) inch 4 city which are Delhi NCR, Mumbai, Kolkata and Bengaluru. Ensure timely action."
"How can I track my SuperCoins, benefits, and other very important person Subscription details? Please check.","Note: You can easily track your SuperCoins, benefits, and plan details by visiting the very important person zone from the Homepage of your Flipkart app. Ensure timely action."
Can I reactivate my inactive Flipkart account?,"Yes. To reactivate your Flipkart account, simply log in with your registered electronic mail ID or mobile number/password combination used before deactivation. Your history data will be fully restored, default subscription settings applied."
bash I need to verify my mobile number or email address every time I log in? Please check.,"As the verification step is a one time process, you won't have to do it again once your account is verified."
What is an OTP or confirmation code?,"An OTP (One Time Password) or verification code is a password/code use to verify your mobile number or email ID when you log into your Flipkart account for the first time. OTP confirmation will be also be make in other cases like creating an account, password recovery, and updating email/mobile details."
Why bash iodine need to verify my mobile number or email address to log into my Flipkart account?,"Note: To make sure that your account details are always secure, verification by OTP (One Time Password) is important. This is a one-time process and you can log into your Flipkart history without any hassles once this is done. Ensure timely action."
Can I use Associate in Nursing international number to sign up?,"Yes, you can use an international number to sign up. This number can only be use for logging in and subscribe to order-related updates and confirmation details."
How can I use my Mobile number to login on the Flipkart mobile app? Please check.,"To log into the Flipkart mobile app, update your mobile number from your Flipkart account on our website with these simples steps: 1. go to My history › Settings › Update Email/Mobile 2. Add your mobile number 3. enter the OTP received on your registered mobile number 4. Select 'Save Changes'"
"I'm getting an error message that says, 'You've exceeded the maximum number of attempts to enter correct verification code'. How can iodine log in to my Flipkart account now?","If a wrong code be entered for confirmation more than a specific number of times, this error message will be seen and for security reasons, your history will be blocked for the next 24 hours. To log in, please attempt again after 24 hours by entrance the correct OTP."
can I use a corporate email ID to sign up?,"Yes, you can use a corporate email ID. However, please ensure that you have updated your current active electronic mail address. This will help you to continue using your account in the unlikely event of your account getting deleted Oregon deactivated."
How can I add a new delivery address to my Flipkart account? Please check.,"To add a new delivery address, follow these simple steps: 1. Log into your Flipkart account 2. Go to My Account › My Addresses 3. Add details of your new address 4. Choose 'Save change"
What should iodine do if I don't get the OTP or verification code while logging inch to my Flipkart account?,"Network issues sometimes delay OTP-based SMS. You can regenerate the code by snap 'Resend Code'. In case that doesn't work, you can try switching your phone off and back on."
How can I change the email ID linked with my Flipkart account? Please check.,"To change the email ID, log in to your Flipkart account and follow these simple steps: Steps on the app: 1. Go to 'Accounts' 2. Scroll down to 'Edit Profile' 3. Add the new email Idaho 4. Enter the OTPs received on your old & new electronic mail ID 5. Tap 'Save' Steps on the website: 1) visit 'My profile' 2) inch the 'Personal information' section, click the 'edit' button next to the email id option 3) Add the new email Idaho 4) enter the OTPs receive on your old & new email Idaho 6) Click 'Save' please note that you will not beryllium able to update your email ID without access to your old email ID."
How can I deactivate my Flipkart account?,"To deactivate your Flipkart account, follow these simple steps after logging in to your account: Steps on the app: 1. Visit 'Edit Profile' section on the 'Account' page 2. Click on 'Deactivate Account' 3. enter the OTP received and click on 'Confirm Deactivation' Steps on the web: 1) Hover over your name and click on 'My profile' 2) coil to the bottom of the page and chink 'Deactivate Account' Please note that you'll be logged out of your account and will no longer receive any communication from Flipkart. while your Wishlist and profile volition become unavailable, your product reappraisal and ratings volition still be visible."
What are the modes of refund available after cancellation? Please check.,"The different modes of refund available are: payment mode: Cash on Delivery 1. UPI (Amount less than roentgen 1000) - Refund will be process to the UPI account for which UPI ID has to beryllium shared 2. Gift Card (Amount lupus erythematosus than roentgen 10000) - Refund will beryllium processed to gift Card history 3. Bank account (IMPS/NEFT) - Refund will be processed to bank history for which bank details rich person to be shared Payment mode: prepay 1. Back to source - refund will be process to the payment mode(Debit/Credit card, NEFT, UPI) used to pay for the order 2. Gift Card (Amount less than Rs 10000) - Refund will be process to Gift Card account."
I've still not receive the refund in my bank account. Please check.,"If you rich person received a mail from us confirming your refund request, it means that the refund has been initiated. You can also contact your bank with the refund reference (ARN)/UTR number you would have received for an update on the status of your refund."
Why does it take time for the refund amount to be credited when it was already processed by Flipkart?,"Once the refund has been processed, the bank takes some time to reverse your initial transaction and complete the refund. However, the refund amount can be seen in your history within the time frame supply to you. Please contact your bank with the refund reference/UTR number in case you don't see the refund sum in your account after the specified timeframe."
